genre	title	start	end	publisher	count	Quelle
romatic suspense	Sandra	1974	1982	Pabel	408	GGG
romatic suspense	Olivia	1975	1979	Bastei	102	GGG
romatic suspense	Kerzenschein	1976	1979	Kelter	58	GGG
romatic suspense	Spuk-Roman	1979	1985	Bastei	170	GGG
romatic suspense	Geheimnis-Roman	1979	1985	Bastei	316	GGG
romatic suspense	Der Hellseher	1982	1982	Bastei	26	GGG
romatic suspense	Roman-Club	1983	1984	Kelter	26	GGG
romatic suspense	Melissa	1984	1990	Bastei	170	GGG
romatic suspense	Mitternachts-Roman	1985	2001	Bastei	802	GGG
romatic suspense	Lady Romanze	1985	1986	Kelter	24	GGG
romatic suspense	Spuklicht	1996	1999	Kelter	124	GGG
romatic suspense	Mac Lean	1998	1998	Kelter	19	GGG
romatic suspense	Gaslicht (Kelter)	1999	2020	Kelter	1054	GGG
romatic suspense	Amulett	1999	1999	Kelter	8	GGG
romatic suspense	Amulett (2)	2001	2002	Kelter	24	GGG
romatic suspense	Spuklicht (2)	2002	2004	Kelter	48	GGG
romatic suspense	Das magische Amulett	2004	2005	Kelter	44	GGG
romatic suspense	Mitternacht	2004	2005	Kelter	21	GGG
romatic suspense	Geisterstunde	2007	2007	Bastei	15	GGG
romatic suspense	Mac Lean (2)	2008	2009	Kelter	24	GGG
romatic suspense	Mystik	2008	2010	Kelter	32	GGG
romatic suspense	Die schwarzen Perlen (2)	2014	2016	Bastei	40	GGG
romatic suspense	Amulett (3)	2015	2015	Kelter	32	GGG
romatic suspense	Jessica Bannister (2)	2016	2018	Bastei	44	GGG
romatic suspense	Mystery	2010	2016	Cora	1113	GGG
romatic suspense	Mystery Thiller	2009	2014	Cora	684	GGG
romatic suspense	Die Astrologin	1983	1983	Wolfgang Marken	15	http://groschenhefte.net/
romatic suspense	Die Wahrsagerin	?	?	Wolfgang Marken	16	http://groschenhefte.net/
Fantasy	Torgo	1965	1966	Mauerhardt	14	GGG
Fantasy	Dragon	1973	1975	Pabel	55	GGG
Fantasy	Macabros	1973	1983	Zauberkreis	125	GGG
Fantasy	Terra Fantasy	1974	1982	Pabel	94	GGG
Fantasy	Mythor	1980	1985	Pabel	192	GGG
Fantasy	Terra Fantasy (2)	1984	1986	Moewig	11	GGG
Fantasy	Fantasy	1985	1986	Bastei	28	GGG
Fantasy	Utopia Classics	1985	1986	Moewig	87	GGG
Fantasy	Dino-Land	1993	1994	Bastei	12	GGG
Fantasy	Thorin	1995	1998	Bastei	12	GGG
Fantasy	Magira	1996	1996	HJB	1	GGG
Fantasy	Jesca	2001	2003	Basilisk	2	GGG
Fantasy	Mythenland	2012	2012	Kelter	8	GGG
Fantasy	Sirius	2001	2004	Mohlberg	40	http://groschenhefte.net/
Horror	2012	2001	2012	Bastei	41	GGG
Horror	Chroniken des Blutes	2002	2002	Basilisk	3	GGG
Horror	Chroniken des Blutes	2002	2003	mg	4	GGG
Horror	Tony Ballard	1982	1990	Bastei	200	GGG
Horror	Die Dämonenjäger	1990	1990	Milton	18	GGG
Horror	Dämonenkiller	1974	1977	Kelter	143	GGG
Horror	Dämonenkiller (2)	1983	1986	Pabel	175	GGG
Horror	Dämonen-Land	1989	1996	Bastei	176	GGG
Horror	Damona King	1979	1984	Bastei	107	GGG
Horror	Dark Land	2016	2018	Bastei	42	GGG
Horror	Dr. Morton	1974	1975	Anne Erber	54	GGG
Horror	Erbers Gruselkrimi	1976	1977	Anne Erber	42	GGG
Horror	Geisterfänger	2006	2007	Kelter	24	GGG
Horror	Geister-Killer Rick Masters	1998	1998	Kelter	36	GGG
Horror	Geister-Killer	1982	1983	Kelter	32	GGG
Horror	Geister-Krimi	1974	1981	Kelter	405	GGG
Horror	Geister-Schocker	2003	2020	Romantruhe	183	GGG
Horror	Geister-Thriller	1983	1983	Kelter	20	GGG
Horror	Geister-Western	1974	1976	Bastei	30	GGG
Horror	Gespenster-Krimi	1973	1985	Bastei	597	GGG
Horror	Gordon Black	1982	1983	Wolfgang Marken	20	GGG
Horror	Grusel-Schocker	1999	2001	Bastei	73	GGG
Horror	Grusel-Western	1974	1976	Wolfgang Marken	40	GGG
Horror	Mark Tate	2002	2002	Kelter	20	GGG
Horror	Der Hexer	1985	1986	Bastei	49	GGG
Horror	Horror-Trip	1975	1975	Neuzeit	2	GGG
Horror	John Sinclair	1978	2020	Bastei	2174	GGG
Horror	Larry Brent	1981	1986	Zauberkreis	192	GGG
Horror	Der Lord	1974	1976	Anne Erber	38	GGG
Horror	Mac Kinsey	1983	1984	Wolfgang Marken	16	GGG
SciFi	Maddrax	2000	2020	Bastei	525	GGG
Horror	Der Magier	1982	1983	Zauberkreis	34	GGG
Horror	Mark Hellmann	1998	1999	Bastei	56	GGG
Horror	Occu	1975	1980	Zauberkreis	58	GGG
Horror	Professor Zamorra	1974	2020	Bastei	1194	GGG
Horror	Raven	2002	2003	Bastei	12	GGG
Horror	Reverend Pain	1999	2001	Bastei	73	GGG
Horror	Ron Kelly	1985	1986	Zauberkreis	22	GGG
Horror	Schattenreich	2004	2005	Bastei	26	GGG
Horror	Silber Grusel-Krimi	1971	1986	Zauberkreis	494	GGG
Horror	Torn	2001	2003	Bastei	50	GGG
Horror	Vampira	1994	1996	Bastei	50	GGG
Horror	Vampire	2001	2002	Bastei	20	GGG
Horror	Vampir-Horror	1972	1981	Pabel	451	GGG
Horror	Volk der Tiefe	2007	2008	Bastei	12	GGG
Horror	Wölfe	2004	2004	Bastei	6	GGG
Horror	Thriller	1986	1986	Richter	21	GGG
Abenteuer	Abenteuer- und Kriminal-Blick	1948	1956	Societe Edco	159	GGG
Abenteuer	Kapitän Mors der Luftpirat	1948	1948	Anker	5	GGG
Abenteuer	Sun Koh	1949	1953	Planet	110	GGG
Abenteuer	Hans Warrens Abenteuer	1949	1951	Pinguijn	66	GGG
Abenteuer	Ben Bolt der Abenteurer	1949	1949	Melange	5	GGG
Abenteuer	Hein Class	1949	1950	Werner Dietsch	158	GGG
Abenteuer	Spannende Geschichten	1949	1953	Bertelsmann	28	GGG
Western	Coyote	1949	1955	Schwicker	39	GGG
Abenteuer	Erdball-Romane/Westmann	1950	1976	Mardicke	1629	GGG
Abenteuer	Rolf Torrings Abenteuer	1930	1939	VVK	445	GGG
Abenteuer	Rolf Torrings Abenteuer (2)	1950	1961	NVV	273	GGG
Abenteuer	Der schwarze Pirat	1950	1955	Deutscher Kleinbuch Verlag	60	GGG
Abenteuer	Thorak Thomesen	1950	1950	Spiegelberg	7	GGG
Western	Bill Rocky	1950	1954	Kauka/Pabel	108	GGG
Western	Zorro	1950	1953	Rudolf Frank	27	GGG
Western	Billy Jenkins	1934	1939	Werner-Dietsch	?	GGG
Western	Billy Jenkins	1949	1963	Uta	370	GGG
Abenteuer	Jörn Farrows U-Boot-Abenteuer	1932	1939	NVV	357	GGG
Abenteuer	Der Herr der Meere	1951	1951	Hermann Kayser	12	GGG
Abenteuer	Der rote Corsar	1951	1952	Hans Kilian	40	GGG
Abenteuer	Fahrten und Abenteuer	1951	1954	Bayrische Verlagsanstalt	25	GGG
Abenteuer	Männer, Taten Abenteuer	1952	1952	Gerlach	17	GGG
Abenteuer	Klaus Olsen der Schiffsjunge	1951	1951	Pinguin	10	GGG
Abenteuer	Katastrophen auf See	1952	1981	DgzRS	15	GGG
Abenteuer	Contra	1953	1954	Sponholtz	23	GGG
Abenteuer	Klaus Störtebeker	1953	1953	Jupiter	8	GGG
Abenteuer	Robin Hood	1953	1953	Jupiter	8	GGG
Western	Tom und Fred	1950	1953	Wildhagen	75	GGG
Krieg	Schild-Hefte	1953	1954	Schild-Verlag	16	GGG
Krieg	SOS Schicksal deutscher Schiffe	1953	1960	Moewig	200	GGG
Abenteuer	Rhenus-Tatsachen-Romane	1953	1953	Rhenus	3	GGG
Abenteuer	Das große Abenteuer	1953	1954	Keppler	10	GGG
Abenteuer	Harthmut, der Edeling	1953	1953	Masta	4	GGG
Abenteuer	Seefahrt in aller Welt	1954	1959	Moewig	95	GGG
Abenteuer	Spannende Geschichten (Rufer)	1954	1957	Rufer	145	GGG
Abenteuer	Mit dem Fahrrad um die Welt	1954	1954	Sport- und Jugendverlag	3	GGG
Abenteuer	Gib Gas!	1954	1955	NVV	17	GGG
Abenteuer	PS	1955	1956	Moewig	34	GGG
Western	William Tex	1955	1967	Kelter	514	GGG
Krimi	Fledermaus	1956	1976	Pabel	904	GGG
Western	Roland Wildwest	1956	1962	Zauberkreis	280	GGG
Krieg	Soldatengeschichten	1957	1964	Moewig	202	GGG
Krieg	Wolken-Stürmer	1957	1957	Gerstmayer	8	GGG
Krieg	Blaue Jungs	1957	1957	Gerstmayer	8	GGG
Krieg	Der Landser	1957	2013	Pabel	2897	GGG
Abenteuer	Tiger	1959	1960	NVV	31	GGG
Krieg	Die andere Seite	1959	1960	Uta	26	GGG
Abenteuer	Abenteuer-Roman	1960	1964	Bastei	196	GGG
Abenteuer	Kelter Abenteuer Roman	1974	1974	Kelter	7	GGG
Abenteuer	Inferno	1975	1977	Wolfgang Marken	22	GGG
Abenteuer	Western-Inferno	1975	1977	Wolfgang Marken	32	GGG
Abenteuer	Seewölfe	1975	1990	Pabel	760	GGG
Abenteuer	Die vier Musketiere	1976	1977	Pabel	65	GGG
Abenteuer	Katastrophenalarm	1977	1977	Rena	12	GGG
Abenteuer	Seetiger	1978	1980	Wolfgang Marken	50	GGG
Abenteuer	Abenteuer-Bestseller	1979	1982	Wolfgang Marken	28	GGG
Abenteuer	Ritter Roland	1981	1983	Bastei	30	GGG
Abenteuer	Ritter Roland (2)	1996	1996	EDFC e.V.	5	GGG
Abenteuer	320 PS-JIM	1982	1986	Wolfgang Marken	106	GGG
Abenteuer	Zwei Teufelskerle	1984	1985	Wolfgang Marken	22	GGG
Abenteuer	Turbo King	1985	1986	Wolfgang Marken	21	GGG
Abenteuer	Trucker-King	1986	1996	Bastei	250	GGG
Abenteuer	Die Abenteurer	1992	1993	Bastei	38	GGG
Abenteuer	!Amerika!	1995	1996	Bastei	22	GGG
Krieg	US Marines	1998	2000	Kelter	24	GGG
Abenteuer	T.N.T	1999	2001	Blitz	7	GGG
Krieg	S:F One	2004	2005	Bastei	24	GGG
Abenteuer	Klaus Störtebeker (Kelter)	2005	2006	Kelter	12	GGG
Abenteuer	Rolf Torrings neue Abenteuer	2006	2006	Gontran	12	GGG
Abenteuer	T.N.T (2)	2008	2008	Romantruhe	12	GGG
Abenteuer	Der Abenteuer-Roman	2011	2011	Kelter	7	GGG
Krieg	Weltkrieg	2013	2020	Mediavari	91	GGG
Western	Aladdin	1948	1948	Lampions	6	goodoldwest.ch
Western	Amerikan Western	1984	1985	Wolfgang Marken	10	goodoldwest.ch
Western	Andy	1970	1974	Intergrossa	103	goodoldwest.ch
Western	Apache Cochise	1981	1983	Kelter	36	goodoldwest.ch
Western	ARCA Romane	1948	1949	ARCA	33	goodoldwest.ch
Western	Arizona	1996	1997	Kelter	33	goodoldwest.ch
Western	Arizona Star	1965	1967	Moewig	128	goodoldwest.ch
Western	Arizona Tiger	1951	1952	Georg Schäfer	16	goodoldwest.ch
Western	Arizona Wildwest	1968	1972	Constantin	190	goodoldwest.ch
Western	Arko Wild-West	1955	1958	Semrau	76	goodoldwest.ch
Western	ASV Wild-West	1955	1958	Semrau	76	goodoldwest.ch
Western	Axel Berger	1980	1983	Kelter	76	goodoldwest.ch
Western	Wildwest Romane	1957	1997	Bastei	1859	goodoldwest.ch
Western	Westmänner	1985	1985	Kelter	4	goodoldwest.ch
Western	Big Joes Abenteuer	1955	1956	Saxonia	34	goodoldwest.ch
Western	Bill Gary	1949	1952	Zwerg-Verlag	23	goodoldwest.ch
Western	Billy Hix	1949	1949	VBZ	2	goodoldwest.ch
Western	Billy Jenkins	1949	1963	Uta	100	goodoldwest.ch
Western	Black Bill	1951	1951	Jupiter	11	goodoldwest.ch
Western	Die Blauröcke	1982	1983	Kelter	48	goodoldwest.ch
Western	Blizzard Bill	1949	1949	Buch und Presse	1	goodoldwest.ch
Western	Der blonde Panther	1952	1952	Pfriem Verlag	4	goodoldwest.ch
Western	Bob Hill	1949	1951	Franke Verlag	88	goodoldwest.ch
Western	Bob Hunter	1958	1959	Uta	30	goodoldwest.ch
Western	Bronson	1984	1986	Wolfgang Marken	51	goodoldwest.ch
Western	BSV Western	1967	1967	Schälter & Co	3	goodoldwest.ch
Western	Der bunte Wildwest Roman	1965	1965	Hebel	7	goodoldwest.ch
Western	Buffalo Bill	1949	1951	Volksbücherei	65	goodoldwest.ch
Western	C Wildwest-Roman	1963	1966	Constantin	201	goodoldwest.ch
Western	Captain Billy Jenkins	1956	1956	Adler Verlag	1	goodoldwest.ch
Western	Captain Concho	1983	1985	Bastei	75	goodoldwest.ch
Western	Cimarron	1978	1979	Bastei	24	goodoldwest.ch
Western	Classic Western	1990	1991	Kelter	27	goodoldwest.ch
Western	Cleveland Western	1971	1971	Bildschriften Verlag	6	goodoldwest.ch
Western	Colorado Western	2000	2003	Bastei	142	goodoldwest.ch
Western	Colt 45	1989	1991	Bastei	100	goodoldwest.ch
